name,province,memberShip,985,211
沈阳铸造研究所,辽宁,机械科学研究院,0,0
机械科学研究院哈尔滨焊接研究所,黑龙江,机械科学研究院,0,0
上海材料研究所,上海,上海市,0,0
郑州机械研究所,河南,机械科学研究院,0,0
武汉材料保护研究所,湖北,机械科学研究院,0,0
中国农业机械化科学研究院,北京,转制科研单位,0,0
上海发电设备成套设计研究院,上海,上海市,0,0
上海内燃机研究所,上海,上海市,0,0
中国原子能科学研究院,北京,工业与信息化部,0,0
中国核动力研究设计院,四川,工业与信息化部,0,0
中国核电工程有限公司,北京,工业与信息化部,0,0
核工业理化工程研究院,天津,工业与信息化部,0,0
上海核工程研究设计院,上海,工业与信息化部,0,0
核工业北京地质研究院,北京,工业与信息化部,0,0
核工业北京化工冶金研究院,北京,工业与信息化部,0,0
中国辐射防护研究院,山西,工业与信息化部,0,0
核工业西南物理研究院,四川,工业与信息化部,0,0
中国工程物理研究院,北京,中国工程物理研究院,0,0
中国航空研究院,北京,工业与信息化部,0,0
北京航空精密机械研究所,北京,工业与信息化部,0,0
