name,province,memberShip,985,211
上海船舶设备研究所,上海,工业与信息化部,0,0
上海船用柴油机研究所,上海,工业与信息化部,0,0
哈尔滨船舶锅炉涡轮机研究所,黑龙江,工业与信息化部,0,0
江苏自动化研究所,江苏,工业与信息化部,0,0
天津航海仪器研究所,天津,工业与信息化部,0,0
西安精密机械研究所,陕西,工业与信息化部,0,0
郑州机电工程研究所,河南,工业与信息化部,0,0
洛阳船舶材料研究所,河南,工业与信息化部,0,0
武汉船用电力推进装置研究所,湖北,工业与信息化部,0,0
华中光电技术研究所,湖北,工业与信息化部,0,0
武汉船舶通信研究所,湖北,工业与信息化部,0,0
武汉第二船舶设计研究所,湖北,工业与信息化部,0,0
上海船舶电子设备研究所,上海,上海市,0,0
大连测控技术研究所,辽宁,工业与信息化部,0,0
邯郸净化设备研究所,河北,工业与信息化部,0,0
中国石油化工股份有限公司石油化工科学研究院,北京,中国石油化工集团公司,0,0
昆明贵金属研究所,云南,转制科研单位,0,0
北京矿冶研究总院,北京,转制科研单位,0,0
北京有色金属研究总院,北京,转制科研单位,0,0
长沙矿山研究院,湖南,转制科研单位,0,0
