name,province,memberShip,985,211
电信科学技术研究院,北京,信息产业部,0,0
电信科学技术第一研究所(上海),上海,信息产业部,0,0
电信科学技术第四研究所(西安),陕西,信息产业部,0,0
电信科学技术第五研究所(成都),四川,信息产业部,0,0
武汉邮电科学研究院,湖北,信息产业部,0,0
中国艺术研究院,北京,文化部,0,0
中国电影艺术研究中心,北京,广播电影电视总局,0,0
中国疾病预防控制中心,北京,卫生部,0,0
中国中医科学院,北京,国家中医药管理局,0,0
中国食品药品检定研究院,北京,国家药品监督管理局,0,0
北京生物制品研究所,北京,中国生物制品总公司,0,0
上海生物制品研究所,上海,中国生物制品总公司,0,0
武汉生物制品研究所,湖北,中国生物制品总公司,0,0
兰州生物制品研究所,甘肃,中国生物制品总公司,0,0
中日友好临床医学研究所,北京,卫生部,0,0
长春生物制品研究所,吉林,中国生物制品总公司,0,0
卫生部北京老年医学研究所,北京,卫生部,0,0
中国建筑材料科学研究总院,北京,转制科研单位,0,0
中国气象科学研究院,北京,中国气象局,0,0
国家海洋局第一海洋研究所,山东,国家海洋局,0,0
