name,province,memberShip,985,211
国家海洋局第二海洋研究所,浙江,国家海洋局,0,0
国家海洋局第三海洋研究所,福建,国家海洋局,0,0
国家海洋环境预报中心,北京,国家海洋局,0,0
国家海洋技术中心,天津,国家海洋局,0,0
中国地震局地球物理研究所,北京,中国地震局,0,0
中国地震局地质研究所,北京,中国地震局,0,0
中国地震局兰州地震研究所,甘肃,中国地震局,0,0
中国地震局地震研究所,湖北,中国地震局,0,0
中国地震局地震预测研究所,北京,中国地震局,0,0
中国地震局工程力学研究所,黑龙江,中国地震局,0,0
中国地震局地壳应力研究所,北京,中国地震局,0,0
中国计量科学研究院,北京,国家质量监督检验检疫总局,0,0
中国医药工业研究总院,上海,转制科研单位,0,0
中国测绘科学研究院,北京,国家测绘局,0,0
中国舰船研究院,北京,工业与信息化部,0,0
武汉数字工程研究所,湖北,工业与信息化部,0,0
中国舰船研究设计中心(701所),湖北,工业与信息化部,0,0
杭州应用声学研究所,浙江,工业与信息化部,0,0
中国船舶科学研究中心,江苏,工业与信息化部,0,0
中国船舶及海洋工程设计研究院,上海,工业与信息化部,0,0
