name,province,memberShip,985,211
中国北方车辆研究所,北京,工业与信息化部,0,0
西安机电信息技术研究所(212所),陕西,工业与信息化部,0,0
陕西应用物理化学研究所(213所),陕西,工业与信息化部,0,0
西北机电工程研究所(202所),陕西,工业与信息化部,0,0
西安现代控制技术研究所,陕西,工业与信息化部,0,0
西安电子工程研究所（206所）,陕西,工业与信息化部,0,0
西南自动化研究所,四川,工业与信息化部,0,0
山东非金属材料研究所,山东,工业与信息化部,0,0
中国兵器装备研究院,北京,工业与信息化部,0,0
中国航天科技集团公司第一研究院,北京,工业与信息化部,0,0
中国航天科工集团第二研究院,北京,工业与信息化部,0,0
中国航天系统科学与工程研究院,北京,工业与信息化部,0,0
西安航天科技工业总公司16所,陕西,工业与信息化部,0,0
中国航天科工集团第三研究院,北京,工业与信息化部,0,0
航天科工集团三院8357所,天津,工业与信息化部,0,0
航天科工集团三院8358所,天津,工业与信息化部,0,0
航天动力技术研究院,陕西,工业与信息化部,0,0
航天化学动力技术研究院42所,湖北,工业与信息化部,0,0
中国空间技术研究院(航天五院),北京,工业与信息化部,0,0
中国航天科技集团公司第五研究院西安分院,陕西,工业与信息化部,0,0
