name,province,memberShip,985,211
中国航空研究院601所,辽宁,工业与信息化部,0,0
中国航空研究院603所,陕西,工业与信息化部,0,0
中国航空研究院606研究所,辽宁,工业与信息化部,0,0
中国航空研究院611所,四川,工业与信息化部,0,0
中国空空导弹研究院,河南,工业与信息化部,0,0
中国航空研究院六一三研究所,河南,工业与信息化部,0,0
中国航空研究院623所,陕西,工业与信息化部,0,0
中国航空研究院624所,四川,工业与信息化部,0,0
中国飞行试验研究院,陕西,工业与信息化部,0,0
中国航空研究院631所,陕西,工业与信息化部,0,0
北京航空材料研究院,北京,工业与信息化部,0,0
北京航空制造工程研究所,北京,工业与信息化部,0,0
中国航空规划设计研究总院有限公司,北京,工业与信息化部,0,0
中国航发湖南动力机械研究所,湖南,工业与信息化部,0,0
中国航空研究院609研究所,江苏,工业与信息化部,0,0
中国航空工业空气动力研究院,黑龙江,工业与信息化部,0,0
中国航空研究院626所,辽宁,工业与信息化部,0,0
中国航空工业总公司第六二八研究所,北京,工业与信息化部,0,0
北京长城计量测试技术研究所,北京,工业与信息化部,0,0
中国航空研究院618所,陕西,工业与信息化部,0,0
